HSIC,NASDAQ
CNA,NYSE
CDW,NASDAQ
SSNC,NASDAQ
CPRT,NASDAQ
CMA,NYSE
EXPD,NASDAQ
APA,NYSE
LNC,NYSE
CHRW,NASDAQ
TFX,NYSE
IT,NYSE
ELAN,NYSE
NRG,NYSE
TXT,NYSE
EFX,NYSE
STX,NASDAQ
UHS,NYSE
SJM,NYSE
AAP,NYSE
WDC,NASDAQ
DGX,NYSE
BR,NYSE
VST,NYSE
SIVB,NASDAQ
ACWI,NASDAQ
VAR,NYSE
SGEN,NASDAQ
DOV,NYSE
MRVL,NASDAQ
SUZ,NYSE
EXR,NYSE
LYV,NYSE
BURL,NYSE
MLM,NYSE
NOV,NYSE
KSS,NYSE
WPC,NYSE
MAA,NYSE
UDR,NYSE
KMX,NYSE
SQM,NYSE
HAS,NASDAQ
ASML,NASDAQ
GDDY,NYSE
FMC,NYSE
ACGL,NASDAQ
APO,NYSE
EMN,NYSE
RJF,NYSE
ATO,NYSE
IHG,NYSE
INVH,NYSE
NBL,NYSE
JBHT,NASDAQ
CPB,NYSE
TPR,NYSE
WRK,NYSE
CAG,NYSE
IEX,NYSE
HEI,NYSE
TIF,NYSE
CIB,NYSE
ODFL,NASDAQ
KSU,NYSE
COG,NYSE
TSCO,NASDAQ
TRU,NYSE
VXUS,NASDAQ
DPZ,NYSE
BIP,NYSE
TAP,NYSE
BAK,NYSE
IGSB,NASDAQ
PSO,NYSE
AKAM,NASDAQ
PTC,NASDAQ
CF,NYSE
HNP,NYSE
VIAB,NASDAQ
CBOE,NASDAQ
ALLY,NYSE
AES,NYSE
LW,NYSE
FTI,NYSE
NCLH,NASDAQ
NCLH,NYSE
REG,NASDAQ
DATA,NYSE
IRM,NYSE
MAS,NYSE
FFIV,NASDAQ
LNT,NASDAQ
DRE,NYSE
NI,NYSE
JKHY,NASDAQ
JNPR,NYSE
WLK,NYSE
YNDX,NASDAQ
TWLO,NYSE
EQH,NYSE
TRGP,NYSE
GPS,NYSE
EDU,NYSE
SJR,NYSE
URI,NYSE
NWL,NASDAQ
ARNC,NYSE
PNW,NYSE
QRTEA,NASDAQ
UGI,NYSE
LEA,NYSE
EXAS,NASDAQ
VOD,NASDAQ
FNF,NYSE
AEM,NYSE
AGNC,NASDAQ
MHK,NYSE
DVA,NYSE
STE,NYSE
PKI,NYSE
HFC,NYSE
OTEX,NASDAQ
SNY,NASDAQ
ATHM,NYSE
TLT,NASDAQ
QRTEB,NASDAQ
Y,NYSE
PCG,NYSE
ADS,NYSE
NLSN,NYSE
FRT,NYSE
DBX,NASDAQ
LII,NYSE
XRAY,NASDAQ
RGA,NYSE
SCZ,NASDAQ
ALNY,NASDAQ
ANDX,NYSE
TLRY,NASDAQ
SUI,NYSE
TMK,NYSE
SNA,NYSE
ELS,NYSE
WRB,NYSE
TRMB,NASDAQ
UAA,NYSE
ZBRA,NASDAQ
LN,NYSE
TTM,NYSE
W,NYSE
AGNCB,NASDAQ
RE,NYSE
PKG,NYSE
JEC,NYSE
WPM,NYSE
IPG,NYSE
CEA,NYSE
RL,NYSE
ZION,NASDAQ
IEI,NASDAQ
ZNH,NYSE
LKQ,NASDAQ
DOX,NASDAQ
WUBA,NYSE
HII,NYSE
AFG,NYSE
MOH,NYSE
HLF,NYSE
IBB,NASDAQ
LDOS,NYSE
ATH,NYSE
CPT,NYSE
QGEN,NASDAQ
QGEN,NYSE
SPR,NYSE
ALB,NYSE
VICI,NYSE
AVY,NYSE
BWA,NYSE
CACC,NASDAQ
NTNX,NASDAQ
TSU,NYSE
SRPT,NASDAQ
ULTI,NASDAQ
MFGP,NYSE
PHM,NYSE
PVH,NYSE
UA,NYSE
XPO,NYSE
MKTX,NASDAQ
UGP,NYSE
QRVO,NASDAQ
IONS,NASDAQ
OGE,NYSE
JWN,NYSE
BHC,NYSE
ALK,NYSE
AOS,NYSE
NBIX,NASDAQ
NNN,NYSE
BG,NYSE
WHR,NYSE
BRO,NYSE
TDY,NYSE
WES,NYSE
M,NYSE
ALLE,NYSE
ON,NASDAQ
JAZZ,NASDAQ
WU,NYSE
FDS,NYSE
CPL,NYSE
TRIP,NASDAQ
ARMK,NYSE
WST,NYSE
STLD,NASDAQ
SCI,NYSE
EBIX,NASDAQ
MGP,NYSE
MTN,NYSE
ANGI,NASDAQ
OKTA,NASDAQ
UBNT,NASDAQ
OHI,NYSE
SLG,NYSE
PAYC,NYSE
FWONK,NASDAQ
ST,NYSE
GLPI,NASDAQ
ICLR,NASDAQ
VMBS,NASDAQ
H,NYSE
USFD,NYSE
RYAAY,NASDAQ
LB,NYSE
LAMR,NASDAQ
SEIC,NASDAQ
BIO,NYSE
ERIE,NASDAQ
RPM,NYSE
CGNX,NASDAQ
DOCU,NASDAQ
PAGS,NYSE
BPY,NASDAQ
LOXO,NASDAQ
IVZ,NYSE
TYL,NYSE
GRUB,NYSE
NDSN,NASDAQ
EXEL,NASDAQ
WAB,NYSE
NKTR,NASDAQ
RHI,NYSE
GGG,NYSE
UNM,NYSE
AIV,NYSE
EPAM,NYSE
PNR,NYSE
KT,NYSE
BKI,NYSE
